TIC_ID,RA,DEC,GAIA_ID,GAIA_PHOT,GAIA_X,GAIA_Y,SIMBAD_ID,SIMBAD_OTYPE
50794137,83.40229026075059,-4.20654975132158,3209848692045675520,False,,,V* V724 Ori,OrionV*
283201557,104.077321931804,-5.6340019764697375,3101177184707222528,True,9.375554523207375,2.369232105959746,,
11286067,84.64412640074,-2.73447208337852,3216109002016118784,False,,,2MASS J05383459-0244040,EmLine*
232283749,92.144299057169,5.758957469033801,3318898701967199232,False,,,,
332974488,85.1668912936312,-6.53053480599224,3016239537801576960,False,,,V* V1189 Ori,OrionV*
50620844,82.31393553623671,-3.5143367090208595,3210750532098784768,False,,,ESO-HA  657,YSO
264744356,82.5628590882507,3.40708741629073,3236017274944520704,False,,,ATO J082.5628+03.4070,YSO
319733038,99.65911518186148,1.61352165981505,3126650296443096064,True,6.11417671810691,-0.4766210053779499,HD  47432,PulsV*
11453330,85.4787229957518,-1.6939206297289198,3216653054112520704,True,12.737335287327667,0.6013872085518099,Haro 5-52,YSO
276661881,84.3319634514948,-1.7038956346295,3217366048747588608,False,,,,
4202571,80.76591337935548,-4.67883277620588,3210191430436256256,True,10.413449355939129,1.52459007577597,Kiso A-0975  69,TTauri*
758391274,100.097243205723,1.32981663998182,3125881252486278144,True,9.040026446176247,-0.4113048509989309,,
40800826,78.36054381713791,-70.0821868710647,4652183922258756608,True,13.638896614582556,1.321022003813736,SV* HV 12568,ClassicalCep
427334205,83.5304884470231,-5.22927209528142,3209524233037903360,True,7.433103954577298,3.5773530843025805,V* WX Ori,TTauri*
302762797,82.95289643607158,13.0922490374731,3341104301358474752,True,17.03117948477631,-0.8993193753196902,UCAC4 516-012837,YSO
302762307,82.95923065334398,12.5238567549063,3341000534950374400,False,,,,
319733041,99.63042127324492,1.61406175098197,3126697158825947136,False,,,,
89105934,89.57718561156919,16.713468776138598,3349729519109981184,False,,,,
365643369,81.5406881722637,11.3936807842048,3339313398781967360,True,14.47161184574532,0.0388124497031105,,
11411879,85.41241257077078,-1.99338496362385,3216627387387974656,False,,,Haro 5-59,TTauri*
427373669,83.6565411319073,-5.7196538215738295,3017244388350754816,True,14.556772670158642,-0.154559269276122,V* V1994 Ori,OrionV*
319854134,99.5963015322833,4.624152179080251,3130884378281225728,False,,,V* V732 Mon,LongPeriodV*
387612500,103.267026025904,16.8173992673564,3358169649538400256,False,,,2MASS J06530408+1649025,Star
199953881,85.7127736082866,1.82261286902581,3222971638199964672,True,11.91603386806833,1.3374969720373469,,
427333791,83.5045404648277,-6.04075336557111,3017211128124211200,True,11.61715554161218,0.947035675814035,V* V1416 Ori,TTauri*
302762116,82.9491823385468,12.3022765277791,3340975864658267136,False,,,V* HM Ori,OrionV*
385814322,95.48208654787248,15.4966659557607,3368823294439758848,False,,,,
36344092,102.172646822,-4.94430848843666,3102176507638784000,False,,,2MASS J06484143-0456395,EclBin
72781151,85.7025020993363,-3.41321661472412,3216139169866218496,False,,,CVSO 1928,TTauri*
302762311,82.9547981524809,12.5335944611954,3341000706749064704,False,,,Haro 6-56,OrionV*
437936921,94.3327778409497,15.0597444577481,3344965232145190400,False,,,,
71966612,91.87637112657758,-6.33002131872553,3019964202159325184,True,13.412076806634316,0.3734580152484422,2MASS J06073033-0619481,YSO
264484033,81.41644029344438,1.67252332940106,3222264136827632128,False,,,CVSO 223,TTauri*
319733008,99.67020886009128,1.5985522480659602,3126649987205453824,False,,,,
200639477,85.8467697053006,9.09221599962556,3336149455290092544,False,,,V* V1022 Ori,YSO
307375164,98.7272730411656,15.3293098234061,3356940155020794880,False,,,,
427347964,83.4897593648535,-0.8792967260750078,3217670274168379392,False,,,ATO J083.4897-00.8793,YSO
427380721,83.8341940537947,-2.78990233483277,3216845945389072896,True,9.265712063032012,1.947406648091808,Haro 5-4,OrionV*
220338658,100.326150939231,9.56488265394736,3326696124896221184,True,10.553139215625286,2.048151155566209,EM* LkHA   68,TTauri*
438072897,95.68367408236048,14.3574956611867,3332659124349515776,True,14.72104678632681,-0.3801245599134339,,
235169312,102.372862856882,9.237228558701847,3158277061221341696,False,,,,
712758832,83.97487744987909,-5.07098218682384,3209530383431106560,False,,,,
235295742,103.174457265597,11.2604933030079,3351279181966305280,True,10.069296291588852,2.342925462631587,,
427395859,83.8520356993189,-6.02956002279318,3017184808564584448,False,,,V* NS Ori,OrionV*
427393767,83.857179,-5.172999,0,False,,,,
11296968,84.85602396315298,-1.4113839574007698,3217425426672287232,True,12.62191544063256,-0.0839216385535201,2MASS J05392543-0124409,YSO
59463256,92.1052512706016,16.406961374654202,3349130530085488640,False,,,,
234155819,101.4415988959,2.49522126192488,3126438979755729408,False,,,,
158764834,87.46473419979118,2.6103170182584705,3316161497831006208,False,,,ATO J087.4647+02.6103,YSO
319854118,99.6056864653734,4.62026325430088,3130884378281224704,False,,,GSC 00155-02582,Star
293989812,84.51819829908358,17.0090867061703,3396654240136993792,True,14.790047518936554,0.0562322563420392,,
200478046,82.539715215862,9.915828960833847,3338129984969076224,False,,,,
235166381,102.362450802765,7.964096671996461,3133339652168393728,False,,,,
151354474,91.4771102030321,14.0519551163843,3345158338172389376,False,,,,
234881569,98.02715348637,4.798722901755821,3131324384791280128,False,,,V* V551 Mon,OrionV*
42236450,96.1338326815132,-4.36943573010199,3104519223319069696,False,,,UCAC4 429-015281,YSO_Candidate
264540967,81.65984392455509,2.36959888229592,3223825718216820224,False,,,,
427393770,83.856086,-5.173565,0,False,,,,
151354461,91.4755389662288,14.046512222867,3345158303812652032,False,,,,
